exit_m,common_m,series_a_m,series_b_m,series_a_converts,series_b_converts
50.4,31.4,10.0,9.0,False,False
50.5,31.5,10.0,9.0,False,False
50.6,31.6,10.0,9.0,False,False
50.7,31.7,10.0,9.0,False,False
50.8,31.8,10.0,9.0,False,False
50.9,31.9,10.0,9.0,False,False
51.0,32.0,10.0,9.0,False,False
51.1,32.1,10.0,9.0,False,False
51.2,32.2,10.0,9.0,False,False
51.3,32.3,10.0,9.0,False,False
51.4,32.4,10.0,9.0,False,False
51.5,32.5,10.0,9.0,False,False
51.6,32.6,10.0,9.0,False,False
51.7,32.7,10.0,9.0,False,False
51.8,32.8,10.0,9.0,False,False
51.9,32.9,10.0,9.0,False,False
52.0,33.0,10.0,9.0,False,False
52.1,33.1,10.0,9.0,False,False
52.2,33.2,10.0,9.0,False,False
52.3,33.3,10.0,9.0,False,False
52.4,33.4,10.0,9.0,False,False
52.5,33.5,10.0,9.0,False,False
52.6,33.6,10.0,9.0,False,False
52.7,33.7,10.0,9.0,False,False
52.8,33.8,10.0,9.0,False,False
52.9,33.9,10.0,9.0,False,False
53.0,34.0,10.0,9.0,False,False
53.1,34.1,10.0,9.0,False,False
53.2,34.2,10.0,9.0,False,False
53.3,34.3,10.0,9.0,False,False
53.4,34.4,10.0,9.0,False,False
53.5,34.5,10.0,9.0,False,False
53.6,34.6,10.0,9.0,False,False
53.7,34.7,10.0,9.0,False,False
53.8,34.8,10.0,9.0,False,False
53.9,34.9,10.0,9.0,False,False
54.0,35.0,10.0,9.0,False,False
54.1,35.1,10.0,9.0,False,False
54.2,35.2,10.0,9.0,False,False
54.3,35.3,10.0,9.0,False,False
54.4,35.4,10.0,9.0,False,False
54.5,35.5,10.0,9.0,False,False
54.6,35.6,10.0,9.0,False,False
54.7,35.7,10.0,9.0,False,False
54.8,35.8,10.0,9.0,False,False
54.9,35.9,10.0,9.0,False,False
55.0,36.0,10.0,9.0,False,False
55.1,36.1,10.0,9.0,False,False
55.2,36.2,10.0,9.0,False,False
55.3,36.3,10.0,9.0,False,False
55.4,36.4,10.0,9.0,False,False
55.5,36.5,10.0,9.0,False,False
55.6,36.6,10.0,9.0,False,False
55.7,36.7,10.0,9.0,False,False
55.8,36.8,10.0,9.0,False,False
55.9,36.9,10.0,9.0,False,False
56.0,37.0,10.0,9.0,False,False
56.1,37.1,10.0,9.0,False,False
56.2,37.2,10.0,9.0,False,False
56.3,37.3,10.0,9.0,False,False
56.4,37.4,10.0,9.0,False,False
56.5,37.5,10.0,9.0,False,False
56.6,37.6,10.0,9.0,False,False
56.7,37.7,10.0,9.0,False,False
56.8,37.8,10.0,9.0,False,False
56.9,37.9,10.0,9.0,False,False
57.0,38.0,10.0,9.0,False,False
57.1,38.1,10.0,9.0,False,False
57.2,38.2,10.0,9.0,False,False
57.3,38.3,10.0,9.0,False,False
57.4,38.4,10.0,9.0,False,False
57.5,38.5,10.0,9.0,False,False
57.6,38.6,10.0,9.0,False,False
57.7,38.7,10.0,9.0,False,False
57.8,38.8,10.0,9.0,False,False
57.9,38.9,10.0,9.0,False,False
58.0,39.0,10.0,9.0,False,False
58.1,39.1,10.0,9.0,False,False
58.2,39.2,10.0,9.0,False,False
58.3,39.3,10.0,9.0,False,False
58.4,39.4,10.0,9.0,False,False
58.5,39.5,10.0,9.0,False,False
58.6,39.6,10.0,9.0,False,False
58.7,39.7,10.0,9.0,False,False
58.8,39.8,10.0,9.0,False,False
58.9,39.9,10.0,9.0,False,False
59.0,40.0,10.0,9.0,False,False
59.1,40.08,10.02,9.0,True,False
59.2,40.16,10.04,9.0,True,False
59.3,40.24,10.06,9.0,True,False
59.4,40.32,10.08,9.0,True,False
59.5,40.4,10.1,9.0,True,False
59.6,40.48,10.12,9.0,True,False
59.7,40.56,10.14,9.0,True,False
59.8,40.64,10.16,9.0,True,False
59.9,40.72,10.18,9.0,True,False
60.0,40.8,10.2,9.0,True,False
60.1,40.88,10.22,9.0,True,False
60.2,40.96,10.24,9.0,True,False
60.3,41.04,10.26,9.0,True,False
60.4,41.12,10.28,9.0,True,False
60.5,41.2,10.3,9.0,True,False
60.6,41.28,10.32,9.0,True,False
60.7,41.36,10.34,9.0,True,False
60.8,41.44,10.36,9.0,True,False
60.9,41.52,10.38,9.0,True,False
61.0,41.6,10.4,9.0,True,False
61.1,41.68,10.42,9.0,True,False
61.2,41.76,10.44,9.0,True,False
61.3,41.84,10.46,9.0,True,False
61.4,41.92,10.48,9.0,True,False
61.5,42.0,10.5,9.0,True,False
61.6,42.08,10.52,9.0,True,False
61.7,42.16,10.54,9.0,True,False
61.8,42.24,10.56,9.0,True,False
61.9,42.32,10.58,9.0,True,False
62.0,42.4,10.6,9.0,True,False
62.1,42.48,10.62,9.0,True,False
62.2,42.56,10.64,9.0,True,False
62.3,42.64,10.66,9.0,True,False
62.4,42.72,10.68,9.0,True,False
62.5,42.8,10.7,9.0,True,False
62.6,42.88,10.72,9.0,True,False
62.7,42.96,10.74,9.0,True,False
62.8,43.04,10.76,9.0,True,False
62.9,43.12,10.78,9.0,True,False
63.0,43.2,10.8,9.0,True,False
63.1,43.28,10.82,9.0,True,False
63.2,43.36,10.84,9.0,True,False
63.3,43.44,10.86,9.0,True,False
63.4,43.52,10.88,9.0,True,False
63.5,43.6,10.9,9.0,True,False
63.6,43.68,10.92,9.0,True,False
63.7,43.76,10.94,9.0,True,False
63.8,43.84,10.96,9.0,True,False
63.9,43.92,10.98,9.0,True,False
64.0,44.0,11.0,9.0,True,False
64.1,44.08,11.02,9.0,True,False
64.2,44.16,11.04,9.0,True,False
64.3,44.24,11.06,9.0,True,False
64.4,44.32000000000001,11.080000000000002,9.0,True,False
64.5,44.4,11.1,9.0,True,False
64.6,44.48,11.12,9.0,True,False
64.7,44.56,11.14,9.0,True,False
64.8,44.64,11.16,9.0,True,False
64.9,44.720000000000006,11.180000000000001,9.0,True,False
65.0,44.8,11.2,9.0,True,False
65.1,44.88,11.22,9.0,True,False
65.2,44.96,11.24,9.0,True,False
65.3,45.04,11.26,9.0,True,False
65.4,45.120000000000005,11.280000000000001,9.0,True,False
65.5,45.2,11.3,9.0,True,False
65.6,45.28,11.32,9.0,True,False
65.7,45.36,11.34,9.0,True,False
65.8,45.44,11.36,9.0,True,False
65.9,45.52000000000001,11.380000000000003,9.0,True,False
66.0,45.6,11.4,9.0,True,False
66.1,45.68,11.42,9.0,True,False
66.2,45.76,11.44,9.0,True,False
66.3,45.84,11.46,9.0,True,False
66.4,45.92000000000001,11.480000000000002,9.0,True,False
66.5,46.0,11.5,9.0,True,False
66.6,46.08,11.52,9.0,True,False
66.7,46.16,11.54,9.0,True,False
66.8,46.24,11.56,9.0,True,False
66.9,46.32000000000001,11.580000000000002,9.0,True,False
67.0,46.4,11.6,9.0,True,False
67.1,46.48,11.62,9.0,True,False
67.2,46.56,11.64,9.0,True,False
67.3,46.64,11.66,9.0,True,False
67.4,46.72,11.68,9.0,True,False
67.5,46.8,11.7,9.0,True,False
67.6,46.88,11.72,9.0,True,False
67.7,46.96,11.74,9.0,True,False
67.8,47.04,11.76,9.0,True,False
67.9,47.12,11.78,9.0,True,False
68.0,47.2,11.8,9.0,True,False
68.1,47.28,11.82,9.0,True,False
68.2,47.36,11.84,9.0,True,False
68.3,47.44,11.86,9.0,True,False
68.4,47.52,11.88,9.0,True,False
68.5,47.6,11.9,9.0,True,False
68.6,47.68,11.92,9.0,True,False
68.7,47.76,11.94,9.0,True,False
